,Credit Usage Activity Dt Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,,,,,,,,,,,,
Project21,https://github.com/Acme/Project21,"36,094","37,242","33,130","12,132","5,360","5,232","4,851","31,978","6,778","3,746","34,254",,,,,,,,,,,,,
Project22,https://github.com/Acme/Project22,"59,536","38,347","32,626","25,751","4,281",411,"2,453",364,920,876,,,,,,,,,,,,,,
Project23,https://github.com/Acme/Project23,911,"5,307","7,832",553,"4,038",610,"2,452","1,521","1,746",791,,,,,,,,,,,,,,
Project24,https://github.com/Acme/Project24,"5,782","20,615","11,476","1,804","3,122","4,437",,"2,279","9,738","95,065","34,828",425,,,,,,,,,,,,
Project25,https://github.com/Acme/Project25,"25,101","25,210","50,336","50,904","1,304","77,081","2,929","51,181","25,315",81,"25,390",,,,,,,,,,,,,
Project26,https://github.com/Acme/Project26,,,"17,882","34,696","1,231","5,548","15,779","28,575",,,,,,,,,,,,,,,,
Project27,https://github.com/Acme/Project27,,,,,272,,,,,,,,,,,,,,,,,,,
Project28,https://github.com/Acme/Project28,"1,629","3,614","1,734","4,221",254,996,"56,200","33,926","15,100","30,381",702,,,,,,,,,,,,,
Project29,https://github.com/Acme/Project29,,"4,508","2,498","2,960",240,"1,399","2,470","2,063","1,570","2,798","27,416",,,,,,,,,,,,,
Project30,https://github.com/Acme/Project30,,,,,238,490,"2,310",,3,2,,,,,,,,,,,,,,
Project31,https://github.com/Acme/Project31,351,,,,150,,175,,501,50,,,,,,,,,,,,,,
Project32,https://github.com/Acme/Project32,17,56,,,118,27,416,,,,,,,,,,,,,,,,,
Project33,https://github.com/Acme/Project33,50,21,54,54,33,124,41,30,,,,,,,,,,,,,,,,
Project34,https://github.com/Acme/Project34,,,,,15,46,693,,"25,007",1,,,,,,,,,,,,,,
Project35,https://github.com/Acme/Project35,,,,,4,4,,,,,,,,,,,,,,,,,,
Project36,https://github.com/Acme/Project36,,,,,3,2,16,3,,,,,,,,,,,,,,,,
Project37,https://github.com/Acme/Project37,,,11,,3,3,3,,57,,,,,,,,,,,,,,,
Project38,https://github.com/Acme/Project38,448,,"54,763","53,617",,,"30,312",,"65,537","60,975",,,,,,,,,,,,,,
Project39,https://github.com/Acme/Project39,,,,,,,,,,"54,853","3,639",404,,,,,,,,,,,,
Project40,https://github.com/Acme/Project40,,"51,079",,,,,454,,,,,,,,,,,,,,,,,
Project41,https://github.com/Acme/Project41,,,,,,,,"25,008","33,957",,,,,,,,,,,,,,,
Project42,https://github.com/Acme/Project42,,,,,,,"2,284","22,549","26,907","26,731","1,280",14,,,,,,,,,,,,
Project43,https://github.com/Acme/Project43,,,"4,949",,,,"1,647","1,029",,202,"1,609","25,804",,,,,,,,,,,,
Project44,https://github.com/Acme/Project44,,,"25,222",,,,"25,228",,,,,,,,,,,,,,,,,
Project45,https://github.com/Acme/Project45,,,,,,"25,118",6,,,,,,,,,,,,,,,,,
Project46,https://github.com/Acme/Project46,,,,,,34,66,"25,101",70,67,,,,,,,,,,,,,,
Project47,https://github.com/Acme/Project47,,,,,,,"25,033",,,,,,,,,,,,,,,,,
Project48,https://github.com/Acme/Project48,"2,612",,"2,155","8,160",,589,"3,656","1,550","1,430","2,550",,,,,,,,,,,,,,
Project49,https://github.com/Acme/Project49,,,636,226,,,"4,328",,,,233,429,,,,,,,,,,,,
Project50,https://github.com/Acme/Project50,327,665,"4,175","1,074",,,,,"1,299",,,,,,,,,,,,,,,
Project51,https://github.com/Acme/Project51,,,,,,,"2,412",,,,,,,,,,,,,,,,,
Project52,https://github.com/Acme/Project52,871,,451,"2,188",,458,"1,304",,,,,,,,,,,,,,,,,
Project53,https://github.com/Acme/Project53,"1,798",,,,,572,"1,117",,,,201,,,,,,,,,,,,,
Project54,https://github.com/Acme/Project54,889,"1,682",555,,,,,,,,,,,,,,,,,,,,,
Project55,https://github.com/Acme/Project55,,,921,,,,683,,435,"1,337",,,,,,,,,,,,,,
Project56,https://github.com/Acme/Project56,"1,163",422,,,,,,,,,,,,,,,,,,,,,,
Project57,https://github.com/Acme/Project57,,,,,,,731,,,,,,,,,,,,,,,,,
Project58,https://github.com/Acme/Project58,,,661,,,225,,,223,,409,,,,,,,,,,,,,
Project59,https://github.com/Acme/Project59,,,,,,438,216,,,217,641,,,,,,,,,,,,,
Project60,https://github.com/Acme/Project60,,,,,,165,566,,84,,,,,,,,,,,,,,,
Project61,https://github.com/Acme/Project61,,,,,,,226,,,,,,,,,,,,,,,,,
Project62,https://github.com/Acme/Project62,,,,,,69,209,10,4,,,,,,,,,,,,,,,
Project63,https://github.com/Acme/Project63,,,,,,,50,,,,,,,,,,,,,,,,,
Project64,https://github.com/Acme/Project64,,,,,,25,,10,,,,,,,,,,,,,,,,
Project65,https://github.com/Acme/Project65,,,,,,,,,5,,,,,,,,,,,,,,,
